time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl
13312,1001.0769230769231,-147419.7816583846,136,97,13,2000568.875,-0.0027948135510087015,120,-7.101146185398102,0.0003,0.00380859375,1.001340627670288,3.635883331298828e-06,0.2,3896227.28125,0.0037259022
14336,1001.0714285714286,-146574.36074485714,146,97,14,4007838.5,-0.005391621548915282,130,-7.101679086685181,0.0003,0.01259765625,1.001447081565857,-0.0001684427261352539,0.2,8502940.95,0.0056050275
15360,1001.0666666666667,-147575.19975346664,157,97,15,2714917.0,-0.0017050703871063888,140,-7.102034413814545,0.0003,0.0001953125,1.001518964767456,-6.389617919921875e-05,0.2,5575124.675,0.001851595
16384,1001.0625,-147027.9838838125,167,97,16,4460311.5,-0.003085168468533084,150,-7.099874198436737,0.0003,0.00185546875,1.0004619359970093,-1.609325408935547e-05,0.2,8646229.5,0.0029853447
17408,1001.0588235294117,-151444.53051329413,177,97,17,3583390.5,-0.0045239926490467045,160,-7.092992615699768,0.0003,0.01103515625,0.9988353848457336,-3.6954879760742188e-06,0.2,6853638.28125,0.0051939003
18432,1001.0555555555555,-154686.30597755557,189,97,18,7477096.5,-0.003940022943424992,170,-7.088325220346451,0.0003,0.0021484375,0.9988225698471069,8.040666580200195e-05,0.2,14866791.1375,0.0029303238
19456,1001.0526315789474,-156745.75498363157,200,97,19,6258298.0,-0.002577160167857073,180,-7.089666545391083,0.0003,0.000390625,0.9992420077323914,-9.369850158691406e-05,0.2,12906476.7875,0.0016947689
20480,1001.05,-158862.52756445,210,97,20,6707278.5,-0.005047573777846992,190,-7.09353598356247,0.0003,0.0046875,1.0003763437271118,-2.2649765014648438e-06,0.2,14335551.725,0.003776958
21504,1001.047619047619,-160276.3572298095,221,97,21,6029427.0,-0.003711775399278849,200,-7.097717589139938,0.0003,0.00205078125,1.0008236169815063,2.3245811462402344e-06,0.2,12376157.6625,0.0030709212
22528,1001.0454545454545,-161586.10706245454,231,97,22,4628722.0,-0.003259217453887686,210,-7.099544793367386,0.0003,0.00068359375,1.0011285543441772,-7.510185241699219e-06,0.2,10403098.7,0.0027039833
23552,1001.0434782608696,-163274.90381373913,242,97,23,5513867.0,-0.002251664031064138,220,-7.100402635335922,0.0003,0.000390625,1.0011842250823975,-2.7418136596679688e-06,0.2,11231688.575,0.0020736975
24576,1001.0416666666666,-162296.85298979166,252,97,24,5164308.5,-0.005899321293691173,230,-7.101701873540878,0.0003,0.01396484375,1.0016117095947266,-1.1920928955078125e-07,0.2,11627426.0375,0.005359008
25600,1001.04,-163380.25522288,263,97,25,2998556.75,-0.0014179688703734427,240,-7.103604435920715,0.0003,0.0,1.002082109451294,0.0,0.2,6096572.58125,0.0011137724
26624,1001.0384615384615,-162806.1965618846,274,97,26,4915324.0,-0.002130994736216962,250,-7.10672904253006,0.0003,0.00029296875,1.0028092861175537,-1.5497207641601562e-06,0.2,10283869.8625,0.0020987564
27648,1001.0370370370371,-167751.92480025924,285,96,27,6521212.5,-0.0019303278153529392,260,-7.110897082090378,0.0003,9.765625e-05,1.0038020610809326,2.0265579223632812e-06,0.2,13433743.775,0.0012421822
28672,1001.0357142857143,-165736.6350553214,296,96,28,8765746.0,-0.002851979236584157,270,-7.112923437356949,0.0003,0.000390625,1.0033882856369019,-1.5497207641601562e-06,0.2,16836857.15,0.0021980973
29696,1001.0344827586207,-165837.46313844825,307,96,29,3268370.0,-0.0020417960913619027,280,-7.11154790520668,0.0003,9.765625e-05,1.003488540649414,5.364418029785156e-07,0.2,6572847.5375,0.0017216522
30720,1001.0333333333333,-166138.98931539996,319,96,30,3233056.0,-0.0026306998857762664,290,-7.113856822252274,0.0003,0.00107421875,1.004366159439087,-1.6689300537109375e-06,0.2,6550719.475,0.002944591
31744,1001.0322580645161,-163452.4497800645,330,96,31,3683014.75,-0.0037320052331779154,300,-7.115040439367294,0.0003,0.00712890625,1.0037511587142944,-4.76837158203125e-07,0.2,7473790.7625,0.0044649923
32768,1001.03125,-161610.84285484377,341,95,32,993225.375,-0.00644784007454291,310,-7.113868683576584,0.0003,0.03837890625,1.0039056539535522,-1.1920928955078125e-07,0.2,1960115.2609375,0.005568846
33792,1001.030303030303,-159866.12332990908,351,96,33,1992670.625,-0.0037243162674712948,320,-7.114765495061874,0.0003,0.00361328125,1.0041301250457764,-8.344650268554688e-07,0.2,3949444.8625,0.003073844
34816,1001.0294117647059,-158659.71909458822,363,95,34,1669041.25,-0.006838820391567424,330,-7.114467829465866,0.0003,0.02822265625,1.0037957429885864,5.960464477539063e-08,0.2,3250279.215625,0.0067392327
35840,1001.0285714285715,-156949.01549171426,373,95,35,1851581.75,-0.005020989800686948,340,-7.117439186573028,0.0003,0.01455078125,1.005658507347107,-9.5367431640625e-07,0.2,3170330.678125,0.005628352
36864,1001.0277777777778,-157717.1177558611,384,95,36,3396051.75,-0.0021257893473375588,350,-7.122461557388306,0.0003,0.0001953125,1.005411982536316,-4.649162292480469e-06,0.2,7123417.6625,0.0019115738
37888,1001.027027027027,-158579.48214018918,394,95,37,5299672.5,-0.0020443444314878433,360,-7.1220376789569855,0.0003,0.0,1.0058352947235107,-0.0001100301742553711,0.2,11334552.55,0.0015204689
38912,1001.0263157894736,-158129.21809813156,405,95,38,4547914.0,-0.001340383366914466,370,-7.123555243015289,0.0003,0.0,1.005768060684204,-0.0008920431137084961,0.2,7855979.5875,0.00082829705
39936,1001.025641025641,-157606.5020108974,416,95,39,3055418.5,-0.0053057785495184365,380,-7.127016353607178,0.0003,0.0169921875,1.007421851158142,-3.5762786865234375e-07,0.2,5948712.59375,0.005672537
40960,1001.025,-155090.962906275,427,95,40,1206771.125,-0.003364206408150494,390,-7.1329349935054776,0.0003,0.0109375,1.0076873302459717,0.0,0.2,2254195.459375,0.00428308
41984,1001.0243902439024,-153797.1973023415,437,95,41,1088707.0,-0.003619449830148369,400,-7.130854719877243,0.0003,0.00400390625,1.0068399906158447,0.0,0.2,2523736.290625,0.0037989519
43008,1001.0238095238095,-153880.2399841905,447,96,42,3210960.25,-0.003225164266768843,410,-7.126337295770645,0.0003,0.000390625,1.0060313940048218,1.1920928955078125e-07,0.2,6864164.1375,0.0024426947
44032,1001.0232558139535,-153311.70044718607,458,96,43,2355316.75,-0.0013706866855500266,420,-7.123121464252472,0.0003,9.765625e-05,1.005535364151001,0.0,0.2,4827049.75625,0.0014578488
45056,1001.0222222222222,-153714.37081691113,469,95,44,3834925.25,-0.0018282971868757159,430,-7.12080317735672,0.0003,0.0,1.0050653219223022,-7.152557373046875e-07,0.2,8147558.075,0.0011734657
46080,1001.0217391304348,-154491.93613734786,479,96,45,3718968.0,-0.0064531999960308895,440,-7.1203039467334746,0.0003,0.0244140625,1.0054198503494263,-2.9802322387695312e-06,0.2,7355604.4125,0.0063670827
47104,1001.0212765957447,-155507.48279808514,490,96,46,4757238.5,-0.005116502108285204,450,-7.121338957548142,0.0003,0.01044921875,1.0052868127822876,0.0,0.2,10713085.3125,0.005025192
48128,1001.0208333333334,-156086.78553808335,500,96,47,6749844.5,-0.006561403453815728,460,-7.1199401140213014,0.0003,0.01181640625,1.0048739910125732,-1.1920928955078125e-07,0.2,12708098.4,0.0054263836
49152,1001.0204081632653,-156166.9179364898,511,96,48,4515349.0,-0.0028968457219889386,470,-7.119804042577743,0.0003,0.0015625,1.0054380893707275,-1.1920928955078125e-07,0.2,9759190.0625,0.0027973778
